Date : 2025-06-25 15:49:57
Directory : d:\Work\React\steelworks-react-ui
Total : 286 files,  20999 codes, 500 comments, 1605 blanks, all 23104 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\list\columns.ts            | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\Add.tsx                      | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\Details.tsx                  | TypeScript JSX     |         80 |          0 |         12 |         92 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\Layout.tsx                   | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\Update.tsx                   | TypeScript JSX     |         49 |          0 |          7 |         56 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\list\List.tsx                | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\positions\list\columns.ts              | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\Add.tsx                          | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\Details.tsx                      | TypeScript JSX     |        101 |          0 |         13 |        114 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\Layout.tsx                       | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\Update.tsx                       | TypeScript JSX     |         59 |          1 |          8 |         68 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\list\List.tsx                    | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\roles\list\columns.ts                  | TypeScript         |         25 |          0 |          3 |         28 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\Add.tsx                          | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\Details.tsx                      | TypeScript JSX     |        112 |         18 |         17 |        147 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\Layout.tsx                       | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\Update.tsx                       | TypeScript JSX     |         61 |          1 |          8 |         70 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\list\List.tsx                    | TypeScript JSX     |         59 |          2 |          5 |         66 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\users\list\columns.ts                  | TypeScript         |         49 |          0 |         10 |         59 |
| d:\Work\React\steelworks-react-ui\src\pages\library\Add.tsx                                    | TypeScript JSX     |         29 |          1 |          5 |         35 |
| d:\Work\React\steelworks-react-ui\src\pages\library\Details.tsx                                | TypeScript JSX     |        123 |          8 |         14 |        145 |
| d:\Work\React\steelworks-react-ui\src\pages\library\Layout.tsx                                 | TypeScript JSX     |         14 |          0 |          2 |         16 |
| d:\Work\React\steelworks-react-ui\src\pages\library\Update.tsx                                 | TypeScript JSX     |         58 |          1 |          8 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\library\list\List.tsx                              | TypeScript JSX     |         63 |          2 |          7 |         72 |
| d:\Work\React\steelworks-react-ui\src\pages\library\list\columns.tsx                           | TypeScript JSX     |         16 |          0 |          4 |         20 |
| d:\Work\React\steelworks-react-ui\src\pages\system\LoadingPage.tsx                             | TypeScript JSX     |          9 |          0 |          1 |         10 |
| d:\Work\React\steelworks-react-ui\src\pages\system\NotAccessPage.tsx                           | TypeScript JSX     |         28 |          0 |          3 |         31 |
| d:\Work\React\steelworks-react-ui\src\shared\api\client.ts                                     | TypeScript         |         15 |          4 |          4 |         23 |
| d:\Work\React\steelworks-react-ui\src\shared\api\transformers.ts                               | TypeScript         |         18 |          9 |          5 |         32 |
| d:\Work\React\steelworks-react-ui\src\shared\config\env.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Work\React\steelworks-react-ui\src\shared\hooks\useIsTruncated.ts                           | TypeScript         |         41 |          4 |         11 |         56 |
| d:\Work\React\steelworks-react-ui\src\shared\hooks\usePaginationParams.ts                      | TypeScript         |         16 |          0 |          6 |         22 |
| d:\Work\React\steelworks-react-ui\src\shared\hooks\usePermissions.ts                           | TypeScript         |         70 |         30 |         14 |        114 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\axios.ts                                      | TypeScript         |         33 |          0 |          4 |         37 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\form-utils.ts                                 | TypeScript         |         68 |         29 |         17 |        114 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\i18nZod.ts                                    | TypeScript         |         15 |          0 |          3 |         18 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\logger.ts                                     | TypeScript         |          4 |          0 |          3 |          7 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\react-hook-form.ts                            | TypeScript         |         32 |          0 |          7 |         39 |
| d:\Work\React\steelworks-react-ui\src\shared\lib\zod.ts                                        | TypeScript         |         23 |          1 |          4 |         28 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\alert-message\AlertMessage.tsx                 | TypeScript JSX     |         41 |          0 |          9 |         50 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\animation\CollapseFM.tsx                       | TypeScript JSX     |         26 |          0 |          3 |         29 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\button\Button.tsx                              | TypeScript JSX     |         42 |          0 |          8 |         50 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\checkbox\Checkox.tsx                           | TypeScript JSX     |         47 |          0 |          7 |         54 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\file-upload\FileUpload.tsx                     | TypeScript JSX     |        193 |          6 |         20 |        219 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\file-upload\filePresets.ts                     | TypeScript         |         23 |          0 |          4 |         27 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\forms\DynamicFieldArray.tsx                    | TypeScript JSX     |         77 |          0 |          5 |         82 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\forms\FormDateField.tsx                        | TypeScript JSX     |         31 |          0 |          4 |         35 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\forms\FormFileUpload.tsx                       | TypeScript JSX     |         38 |          0 |          6 |         44 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\forms\FormReactSelect.tsx                      | TypeScript JSX     |         85 |          5 |         14 |        104 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\forms\OptionalField.tsx                        | TypeScript JSX     |         77 |          0 |          6 |         83 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\input-field\InputDateField.tsx                 | TypeScript JSX     |        108 |          4 |         10 |        122 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\input-field\InputField.tsx                     | TypeScript JSX     |         60 |          2 |          8 |         70 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\input-field\InputFieldNoLabel.tsx              | TypeScript JSX     |         19 |          0 |          4 |         23 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\input-field\InputFieldWithMask.tsx             | TypeScript JSX     |         66 |         18 |         19 |        103 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\modal\Modal.tsx                                | TypeScript JSX     |         88 |          1 |         13 |        102 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\modal\ModalContext.tsx                         | TypeScript JSX     |         33 |          0 |          8 |         41 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\modal\ModalTrigger.tsx                         | TypeScript JSX     |         23 |          0 |          6 |         29 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\AnimatedMenu.tsx                        | TypeScript JSX     |         27 |          0 |          3 |         30 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\ReactSelect.tsx                         | TypeScript JSX     |        154 |          0 |          9 |        163 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\ReactSelectCheckbox.tsx                 | TypeScript JSX     |         61 |          0 |          5 |         66 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\Select.tsx                              | TypeScript JSX     |        133 |          4 |         13 |        150 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\VirtualizedMenuList.tsx                 | TypeScript JSX     |         56 |          0 |         13 |         69 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\select\VirtualizedSelect.tsx                   | TypeScript JSX     |         67 |          0 |         11 |         78 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\switch\Switch.tsx                              | TypeScript JSX     |         84 |          1 |          8 |         93 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\with-error\WithError.tsx                       | TypeScript JSX     |         18 |          0 |          3 |         21 |
| d:\Work\React\steelworks-react-ui\src\shared\ui\with-error\fieldsWithError.ts                  | TypeScript         |         19 |          0 |          7 |         26 |
| d:\Work\React\steelworks-react-ui\src\types\axios.ts                                           | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\types\common.ts                                          | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\types\pagination.ts                                      | TypeScript         |         10 |          0 |          2 |         12 |
| d:\Work\React\steelworks-react-ui\src\types\user.ts                                            | TypeScript         |          0 |         42 |          5 |         47 |
| d:\Work\React\steelworks-react-ui\src\utils\formData.ts                                        | TypeScript         |         14 |          9 |          4 |         27 |
| d:\Work\React\steelworks-react-ui\src\utils\path.ts                                            | TypeScript         |          2 |          0 |          1 |          3 |
| d:\Work\React\steelworks-react-ui\src\vite-env.d.ts                                            | TypeScript         |          0 |          1 |          1 |          2 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\DataTable.tsx                         | TypeScript JSX     |        342 |         10 |         13 |        365 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\booleanColumn.ts              | TypeScript         |         12 |          7 |          3 |         22 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\dateColumn.ts                 | TypeScript         |         21 |         10 |          6 |         37 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\displayColumn.ts              | TypeScript         |         23 |         10 |          7 |         40 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\idColumn.tsx                  | TypeScript JSX     |         17 |          4 |          3 |         24 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\listColumn.ts                 | TypeScript         |         42 |         10 |          8 |         60 |
| d:\Work\React\steelworks-react-ui\src\widgets\data-table\columns\optionColumn.ts               | TypeScript         |         24 |          7 |          6 |         37 |
| d:\Work\React\steelworks-react-ui\src\widgets\page-layout\Layout.tsx                           | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\Work\React\steelworks-react-ui\src\widgets\page-layout\Navbar.tsx                           | TypeScript JSX     |         63 |          5 |          8 |         76 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\MenuItem.tsx                             | TypeScript JSX     |         33 |          2 |          5 |         40 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\Popup.tsx                                | TypeScript JSX     |         63 |          3 |          9 |         75 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\Sidebar.tsx                              | TypeScript JSX     |         58 |          6 |          8 |         72 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\SidebarProvider.tsx                      | TypeScript JSX     |         72 |          8 |         14 |         94 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\SubMenu.tsx                              | TypeScript JSX     |         79 |          5 |          9 |         93 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\SubMenuISubItem.tsx                      | TypeScript JSX     |         18 |          0 |          3 |         21 |
| d:\Work\React\steelworks-react-ui\src\widgets\sidebar\SubMenuItem.tsx                          | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\Work\React\steelworks-react-ui\tsconfig.app.json                                            | JSON               |         27 |          0 |          1 |         28 |
| d:\Work\React\steelworks-react-ui\tsconfig.json                                                | JSON with Comments |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\tsconfig.node.json                                           | JSON               |         21 |          2 |          3 |         26 |
| d:\Work\React\steelworks-react-ui\vite.config.ts                                               | TypeScript         |         25 |          0 |          4 |         29 |
| Total                                                                                          |                    |     20,999 |        500 |      1,605 |     23,104 |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
