Date : 2025-06-25 15:49:57
Directory : d:\Work\React\steelworks-react-ui
Total : 286 files,  20999 codes, 500 comments, 1605 blanks, all 23104 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\keys.ts                     | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\service.mock.ts             | TypeScript         |         32 |          0 |          7 |         39 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\services\service.ts                  | TypeScript         |         51 |          2 |          6 |         59 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\base.model.ts                  | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\request.dto.ts                 | TypeScript         |          5 |          0 |          3 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\city\types\response.dto.ts                | TypeScript         |         20 |          0 |          6 |         26 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\forms\form.tsx                    | TypeScript JSX     |         63 |          0 |          8 |         71 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\forms\schema.ts                   | TypeScript         |         11 |          0 |          3 |         14 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\base.model.ts               | TypeScript         |          7 |          0 |          2 |          9 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\contact.ts                  | TypeScript         |          9 |          0 |          3 |         12 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\request.dto.ts              | TypeScript         |          8 |          0 |          4 |         12 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\contact\types\response.dto.ts             | TypeScript         |          6 |          0 |          3 |          9 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\forms\form.tsx                    | TypeScript JSX     |         71 |          0 |         11 |         82 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\forms\schema.ts                   | TypeScript         |          9 |          0 |          3 |         12 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\mocks\mock.ts                     | TypeScript         |        143 |          0 |          2 |        145 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\routes.ts                         | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\keys.ts                  | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\service.mock.ts          | TypeScript         |         31 |          0 |          7 |         38 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\services\service.ts               | TypeScript         |         54 |          2 |          6 |         62 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\base.model.ts               | TypeScript         |          7 |          0 |          1 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\request.dto.ts              | TypeScript         |          3 |          0 |          3 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\country\types\response.dto.ts             | TypeScript         |         23 |          0 |          6 |         29 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\forms\form.tsx                | TypeScript JSX     |         59 |          0 |          8 |         67 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\forms\schema.ts               | TypeScript         |          6 |          0 |          3 |          9 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\mocks\mock.ts                 | TypeScript         |        133 |          0 |          2 |        135 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\routes.ts                     | TypeScript         |         45 |          0 |          3 |         48 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\keys.ts              | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\service.mock.ts      | TypeScript         |         24 |          0 |          6 |         30 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\services\service.ts           | TypeScript         |         54 |          2 |          6 |         62 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\base.model.ts           | TypeScript         |          4 |          0 |          1 |          5 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\request.dto.ts          | TypeScript         |          3 |          0 |          3 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\departments\types\response.dto.ts         | TypeScript         |         16 |          0 |          6 |         22 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\forms\form.tsx            | TypeScript JSX     |         69 |          0 |          7 |         76 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\forms\schema.ts           | TypeScript         |          9 |          0 |          3 |         12 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\base.model.ts       | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\employmentStatus.ts | TypeScript         |         12 |          0 |          3 |         15 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\request.dto.ts      | TypeScript         |          3 |          0 |          3 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\employeeProfile\types\response.dto.ts     | TypeScript         |          4 |          0 |          3 |          7 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\forms\form.tsx              | TypeScript JSX     |        126 |          6 |         15 |        147 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\forms\schema.ts             | TypeScript         |         12 |          0 |          3 |         15 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\mocks\mock.ts               | TypeScript         |         69 |          0 |          6 |         75 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\routes.ts                   | TypeScript         |         51 |          0 |          3 |         54 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\keys.ts            | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\service.mock.ts    | TypeScript         |         36 |          0 |          7 |         43 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\services\service.ts         | TypeScript         |         54 |          2 |          6 |         62 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\base.model.ts         | TypeScript         |          5 |          0 |          1 |          6 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\request.dto.ts        | TypeScript         |         19 |          0 |          3 |         22 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\organizations\types\response.dto.ts       | TypeScript         |         34 |          0 |          6 |         40 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\forms\form.tsx                     | TypeScript JSX     |        217 |          6 |         22 |        245 |
| d:\Work\React\steelworks-react-ui\src\entities\admin\people\forms\schema.ts                    | TypeScript         |         20 |          0 |          3 |         23 |
